run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,person,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,dog,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,car,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,chair,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,bottle,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CORE,vis.last,0,IB,bicycle,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,person,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,dog,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,car,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,chair,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,bottle,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,bicycle,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,WY,person,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,WY,bottle,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IA,person,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IA,bottle,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:coco:mayo,llama32-11,coco,CALIBRATION,vis.last,0,IB,person,400,400,0,COMPLETE,,,
