run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Atelectasis,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Pneumothorax,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Cardiomegaly,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Mass,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CORE,vis.last,0,IB,Nodule,76200,76200,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Effusion,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Atelectasis,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Pneumothorax,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Cardiomegaly,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Mass,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IB,Nodule,400,400,0,COMPLETE,,,
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,WY,Effusion,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,WY,Mass,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IA,Effusion,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
cf-transfer-v1:llama32-11:nih:mayo,llama32-11,nih,CALIBRATION,vis.last,0,IA,Mass,400,0,0,NOT_STARTED,,,INELIGIBLE: semantic mapping failed image-free preflight (check E)
